,Model,Independent variable1,Independent variable2,Independent variable3,Independent variable4,Adjusted R2,Coefficient1,Coefficient2,Coefficient3,Coefficient4
114,Fixed effect,tornado_count,tropical_storm_count,avg_tornado_scale,winter_storm_count,0.06140601691311476,0.0003136527009509201,0.0008508174169234117,0.013909464465890161,0.0002797305614800517
115,Fixed effect,tornado_count,tropical_storm_count,PerCapitaIncome,GDP_per_capita,0.06077355754940661,0.00038171161710955347,0.0007357384460170731,7.852310787879493e-06,-9.396357917406513
116,Fixed effect,tornado_count,tropical_storm_count,PerCapitaIncome,heat_death,0.0610648053576498,0.0004351138970062992,0.0007045472773445805,-2.5515322819465374e-06,-0.0016061845978852898
117,Fixed effect,tornado_count,tropical_storm_count,PerCapitaIncome,winter_storm_count,0.06149418042528998,0.00033513080804161663,0.0008404821254916164,-1.9433041696897714e-06,0.00029277783127423703
118,Fixed effect,tornado_count,tropical_storm_count,GDP_per_capita,heat_death,0.06145962423412532,0.0004309965727136672,0.0006708440114093256,-3.3513071919808484,-0.0017109492581134352
119,Fixed effect,tornado_count,tropical_storm_count,GDP_per_capita,winter_storm_count,0.061730212900615755,0.0003305875184654144,0.0008183935494856599,-2.533388293787774,0.000289059516441774
120,Fixed effect,tornado_count,tropical_storm_count,heat_death,winter_storm_count,0.06169583752242447,0.0003792032068470871,0.0008002149261625052,-0.0010802424961950394,0.000255401089350921
121,Fixed effect,tornado_count,wildfire_dummy,wildfire_count,tropical_storm_dummy,0.06063923383139602,0.0005022103950028411,0.03198241621964309,0.00024337073953112782,0.01007261691050561
122,Fixed effect,tornado_count,wildfire_dummy,wildfire_count,tornado_injury,0.06058361581711724,0.0005555585984571928,0.03239716593214094,0.00023499097021106524,-4.05036187120634e-06
123,Fixed effect,tornado_count,wildfire_dummy,wildfire_count,flood_count,0.06125346090690076,0.0003950535572456193,0.037566233687461426,0.0002761521032466768,0.00025740067165508243
124,Fixed effect,tornado_count,wildfire_dummy,wildfire_count,flood_death,0.06175978993213149,0.00041459675314128896,0.034021463897512934,0.00028566736046685886,0.00931679543024775
125,Fixed effect,tornado_count,wildfire_dummy,wildfire_count,avg_tornado_scale,0.06083746439504212,0.0005063166440346241,0.03273155222659161,0.00023541820108697074,0.017552080159433464
126,Fixed effect,tornado_count,wildfire_dummy,wildfire_count,PerCapitaIncome,0.0607294962204149,0.0005384461754584857,0.0312851936646986,0.00023175282904526603,-1.4962387111506688e-06
127,Fixed effect,tornado_count,wildfire_dummy,wildfire_count,GDP_per_capita,0.06092883780807845,0.000529703933965618,0.02981718555403562,0.00022524472483808022,-2.154661656886008
128,Fixed effect,tornado_count,wildfire_dummy,wildfire_count,heat_death,0.0624463948648627,0.0006248666059214613,0.02917986028831666,0.000409359212505612,-0.0023675497808151582
129,Fixed effect,tornado_count,wildfire_dummy,wildfire_count,winter_storm_count,0.06179455971238579,0.0004957314091379911,0.03421411635604218,0.0002135301862782967,0.0002720547203162711
130,Fixed effect,tornado_count,wildfire_dummy,tropical_storm_dummy,tornado_injury,0.059913018252547356,0.000500789620300938,0.03346039070134596,0.005670801154667678,-7.893461609255571e-06
131,Fixed effect,tornado_count,wildfire_dummy,tropical_storm_dummy,flood_count,0.060330150967560114,0.00038603700015302504,0.0377488460982515,-0.0011343096886082522,0.00020702286157704185
132,Fixed effect,tornado_count,wildfire_dummy,tropical_storm_dummy,flood_death,0.0607686682505334,0.0003956327581764318,0.03505394901259282,-0.0017339922248967516,0.0079979837595978
133,Fixed effect,tornado_count,wildfire_dummy,tropical_storm_dummy,avg_tornado_scale,0.0601761587186187,0.000433534898692777,0.03362751238854047,0.00743744449653832,0.018003242014512828
